Year,Population_end,BirthRate,DeathRate,Age_0_14,Age_15_64,AgingRatio,MalePop,FemalePop,GDP_percapita,ResidentConsumption,HealthcareCost
2024,140082.54732818058,3.867510946768618,10.141527804826271,14.683398824937159,69.91659871171962,15.40000246334322,71580.05821635411,68502.48911182645,87895.67984189652,33367.197628458496,83186.72549407091
2025,139203.6670647239,3.867471901063785,10.141567811836214,14.604841751826058,69.9951581085531,15.400000139620845,71130.96360017674,68072.70346454716,91715.00098814163,34822.101778656244,87161.06881422922
2026,138330.2899064286,3.8674707928565715,10.141566690963735,14.526278391459709,70.0737098454487,15.400011763091587,70684.68111193713,67645.60879449148,95534.32213438675,36277.00592885399,91135.41213438753
2027,137462.3924019427,3.8674718533206613,10.141567833841945,14.363977168266244,70.0685231713406,15.56749966039315,70241.19864308763,67221.19375885506,99353.64328063186,37731.910079051275,95109.75545454584
2028,136599.94015830083,3.867470524495081,10.141566449528705,14.103338158809272,69.9649996994966,15.931662141694122,69800.49862564045,66799.44153266039,103172.96442687698,39186.81422924902,99084.09877470322
2029,135742.89903039378,3.867473985309866,10.141569887572784,13.842696254095975,69.86147188042222,16.29583186548182,69362.56360018998,66380.33543020378,106992.28557312209,40641.71837944677,103058.44209486153
2030,134891.2350638259,3.8674731837550307,10.141569178051796,13.582060065458112,69.75795181583139,16.659988118710498,68927.37622446641,65963.85883935948,110811.6067193672,42096.62252964452,107032.78541501984
2031,134044.91450624622,3.8674734658166834,10.141569355439744,13.321419360292229,69.65442500948195,17.024155630225813,68494.91924725023,65549.995258996,114630.92786561232,43551.5266798418,111007.12873517815
2032,133203.9038591177,3.867473420553126,10.141569331844204,13.06075611904279,69.55087499255873,17.38836888839848,68065.17555729792,65138.728301819785,118450.24901185744,45006.43083003955,114981.47205533646
2033,132368.1697905472,3.8674725612327827,10.141568535785433,12.800092216459609,69.44732367529707,17.752584108243326,67638.12811609554,64730.04167445166,122269.57015810255,46461.3349802373,118955.81537549384
2034,131537.67918930543,3.867472207454817,10.14156812196398,12.539451564192838,69.34380039757639,18.116748038230778,67213.76000964556,64323.91917965988,126088.89130434766,47916.239130435046,122930.15869565215
2035,130712.3991736998,3.8674722631030303,10.141568147764305,12.27881625974265,69.24028010223753,18.48090363801981,66792.0544354635,63920.344738236294,129908.21245059278,49371.14328063233,126904.50201581046
2036,129892.29704796989,3.867469268093092,10.14156520279694,12.018180228986896,69.13675859376457,18.845061177248535,66372.99468137941,63519.30236659047,133727.5335968379,50826.047430830076,130878.84533596877
2037,129077.34031511187,3.867473868147076,10.141569787294989,11.757547522630693,69.0332382678233,19.209214209546015,65956.56414368727,63120.7761714246,137546.854743083,52280.951581027824,134853.18865612615
2038,128267.49670098636,3.8674716117344867,10.14156757358651,11.496911041265996,68.92971798280715,19.573370975926846,65542.74633810576,62724.7503628806,141366.17588932812,53735.85573122557,138827.53197628446
2039,127462.73411789784,3.867472273879544,10.141568217581492,11.236273655786004,68.8261963436796,19.9375300005344,65131.5248531955,62331.20926470234,145185.49703557324,55190.759881422855,142801.87529644277
2040,126663.02069479557,3.867472910297701,10.14156886336,10.975640378195317,68.72267554624044,20.301684075564243,64722.883416271514,61940.13727852407,149004.81818181742,56645.6640316206,146776.21861660108
2041,125868.3247492517,3.8674726662543684,10.141568545287484,10.715005621028567,68.61915412757368,20.665840251397757,64316.80583364416,61551.51891560753,152824.13932806253,58100.56818181835,150750.5619367594
2042,125078.61481164162,3.8674712620232983,10.14156719433343,10.454367474306197,68.5156338070319,21.029998718661908,63913.27602894934,61165.33878269228,156643.46047430765,59555.4723320161,154724.90525691677
2043,124293.85958323292,3.8674710021510452,10.14156696470841,10.193719540556325,68.41209945371904,21.394181005724636,63512.278003047395,60781.58158018552,160462.78162055276,61010.37648221338,158699.24857707508
2044,123514.02798065108,3.8674732526458233,10.1415691303832,9.933085621459218,68.308578296917,21.75833608162378,63113.79587692748,60400.23210372361,164282.10276679788,62465.28063241113,162673.5918972334
2045,122739.08912685493,3.86747269623148,10.141568615175261,9.672450955471465,68.20505830538991,22.12249073913862,62717.81387143817,60021.27525541676,168101.423913043,63920.18478260888,166647.9352173917
2046,121969.01230866926,3.8674706821470624,10.141566609927123,9.411815498934729,68.10153803297352,22.486646468091745,62324.316290060466,59644.6960186088,171920.7450592881,65375.088932806626,170622.27853754908
2047,121203.76702522808,3.8674726039170118,10.141568630454351,9.151178892900077,67.99801660787163,22.85080449922829,61933.2875524867,59270.47947274139,175740.06620553322,66829.99308300391,174596.6218577074
2048,120443.32295213373,3.867469372580777,10.1415652174544,8.890544381336898,67.89449507534374,23.214960543319368,61544.712158481765,58898.61079365197,179559.38735177834,68284.89723320166,178570.9651778657
2049,119687.65000005698,3.8675285567959694,10.141514751675722,8.629908504219646,67.79097509467998,23.579116401100382,61158.574736699724,58529.07526335725,183378.70849802345,69739.8013833994,182545.308498024
2050,118936.73133625902,6.225904023931189,7.783135713055203,8.369271641021502,67.68745350713031,23.94327485184818,60774.86653864235,58161.864797616676,187198.02964426856,71194.70553359669,186519.65181818232
